p,t
icb,36 SETTLE(Verb) ~ing(ms)
abi,FATHER ~of
ibl,Yaval
fofgb,and~ REED.PIPE
knfr,38 HARP
tpc,SEIZE.HOLD(Verb) ~ing(ms)
ifbl,Yuval
nome,Na'amah
tfbl,and~ SISTER
fahft,and~ IRON
fbrzl,COPPER
nhct,CRAFTSMAN
hrc,39 ALL
ljc,Tuval-Qayin
ilde,ALSO
fsle,
lhbrti,to~ STRIPED.BRUISE ~me
fild,and~ BOY
lpsoi,to~ WOUND ~me
ergti,I~ did~ KILL(Verb)
amrti,SPEECH ~me
eazne,!(fp)~ make~ WEIGH.OUT(Verb)
nci,WOMAN ~s
qfli,VOICE ~me
cmon,!(fp)~ HEAR(Verb)
lncif,to~ WOMAN ~s ~him
fcboe,and~ SEVEN
cboim,SEVEN ~s
flmk,and~ Lamekh
ergf,he~ did~ KILL(Verb) ~him
tht,UNDER
ahr,OTHER
ct,he~ did~ SET.DOWN(Verb)
ftqra,and~ she~ will~ CALL.OUT(Verb)
bn,SON
ofd,YET.AGAIN
bcm,in~ TITLE
lqra,to~ >~ CALL.OUT(Verb)
efhl,he~ did~ be~ make~ DRILL(Verb)
az,AT.THAT.TIME
anfc,Enosh
flct,and~ to~ Shet
bdmft,in~ LIKENESS
tfldt,BIRTHING ~s
xpr,SCROLL
ze,THIS
ebram,>~ be~ SHAPE(Verb) ~them(m)
cmm,TITLE ~them(m)
bram,he~ did~ SHAPE(Verb) ~them(m)
kslmf,like~ IMAGE ~him
bdmftf,in~ LIKENESS ~him
cne,41 YEAR
fmat,and~ HUNDRED
clcim,THREE ~s
fihi,and~ he~ will~ LIVE(Verb)
fbnft,and~ DAUGHTER ~s
mat,HUNDRED ~s
cmne,EIGHT
eflidf,>~ make~ BRING.FORTH(Verb) ~him
ahri,AFTER
fimt,and~ he~ will~ DIE(Verb)
fclcim,and~ THREE ~s
maft,HUNDRED ~s
tco,NINE
cnim,YEAR ~s
hmc,FIVE
fcmne,and~ EIGHT
cbo,SEVEN
ftco,and~ NINE
ocre,TEN
ctim,TWO
qinn,Qeynan
tcoim,NINE ~s
mellal,Mahalalel
arboim,FOUR ~s
ocr,TEN
ird,Yared
fccim,and~ SIX ~s
ftcoim,and~ NINE ~s
mtfclh,Metushelahh
clc,THREE
ealeim,the~ Elohiym
fitelk,and~ he~ will~ self~ WALK(Verb)
fclc,and~ THREE
fainnf,and~ WITHOUT ~him
fcmnim,and~ EIGHT ~s
fcbo,and~ SEVEN
fcmfnim,and~ EIGHT ~s
arre,he~ did~ much~ SPIT.UPON(Verb) ~her
idinf,HAND ~s2 ~us
fmosbfn,and~ from~ HARDSHIP
mmocnf,from~ WORK ~us
inhmnf,he~ will~ much~ COMFORT(Verb) ~us
nh,No'ahh
fhmc,and~ FIVE
fcboim,and~ SEVEN ~s
ipt,Yaphet
hm,Hham
